课程名称,必要评估,修读类型,课程性质,完成度
计算机基础,,必修,学科平台课程,Yes
线性代数,9,必修,学科平台课程,Yes
C语言程序设计,,必修,学科平台课程,Yes
数据结构与算法,,必修,学科平台课程,Yes
复变函数与积分变换,,必修,学科平台课程,No
概率与数理统计,,必修,学科平台课程,No
高频电路,,,,No
通信与信息工程,,,,No
传感器原理,,,,No
CPLD/FPGA实用技术,,,,No
数字电路,,,,Yes
电路分析基础,10,必修,专业核心课程,Yes
工程图学基础,,,专业核心课程,No
单片机原理及应用,,"必修, 重要",专业核心课程,Yes
模拟电子技术,,"必修, 重要",专业核心课程,Yes
可编程器件与VHDL,,"必修, 重要",专业核心课程,No
信号与系统,,"必修, 重要",专业核心课程,Yes
通信电路与系统,,必修,专业核心课程,No
感测技术,,必修,专业核心课程,No
电磁场与电磁波,,必修,专业拓展课程,No
数字信号处理,,必修,专业拓展课程,No
通信原理,,必修,专业拓展课程,No
数字图像处理,,必修,专业拓展课程,No
电子系统设计,,必修,专业拓展课程,No
工程项目管理与经济决策方法,,必修,专业拓展课程,No
控制理论基础,,必修,专业拓展课程,No
MATLAB程序设计,,选修,专业拓展课程,No
计算机网络,,选修,专业拓展课程,No
Python程序设计,,选修,专业拓展课程,No
现代虚拟仪器技术,,选修,专业拓展课程,No
PLC技术及应用,,选修,专业拓展课程,No
嵌入式系统原理及应用,,选修,专业拓展课程,Yes
物联网技术,,选修,专业拓展课程,No
面向对象程序设计,,选修,专业拓展课程,No
光电技术,,选修,专业拓展课程,No
信息论与编码,,选修,专业拓展课程,No
DSP原理及应用,,选修,专业拓展课程,No
微机原理与接口技术,,选修,专业拓展课程,No
专业前沿讲座,,选修,专业拓展课程,No
专业外语（电子）,,选修,专业拓展课程,No
